id,c_date,campaign_name,category,campaign_id,impressions,mark_spent,clicks,leads,orders,revenue
1,2021-02-01,facebook_tier1,social,349043,148263,7307.37,1210,13,1,4981.0
2,2021-02-01,facebOOK_tier2,social,348934,220688,16300.2,1640,48,3,14962.0
3,2021-02-01,google_hot,search,89459845,22850,5221.6,457,9,1,7981.0
4,2021-02-01,google_wide,search,127823,147038,6037.0,1196,24,1,2114.0
5,2021-02-01,youtube_blogger,influencer,10934,225800,29962.2,2258,49,10,84490.0
6,2021-02-01,instagram_tier1,social,9034945,444857,9540.01,1342,27,3,17943.0
7,2021-02-01,instagram_tier2,social,983498,511200,3648.9,2556,94,1,1981.0
8,2021-02-01,facebook_retargeting,social,4387490,5544,1293.55,148,3,1,4981.0
9,2021-02-01,facebook_lal,social,544756,56916,16997.8,596,14,2,4162.0
10,2021-02-01,instagram_blogger,influencer,374754,120436,23604.1,1498,49,7,39081.0
11,2021-02-01,banner_partner,media,39889,20900000,931.99,2090,3,0,0.0
12,2021-02-02,facebook_tier1,social,349043,478200,18385.3,2391,48,4,17812.0
13,2021-02-02,facebOOK_tier2,social,348934,957806,2198.05,3294,10,0,0.0
14,2021-02-02,google_hot,search,89459845,43806,11446.7,907,18,3,23943.0
15,2021-02-02,google_wide,search,127823,314704,15153.6,2395,39,4,12540.0
16,2021-02-02,youtube_blogger,influencer,10934,449200,42301.1,4492,85,17,149141.0
17,2021-02-02,instagram_tier1,social,9034945,540200,29081.1,2701,54,9,45585.0
18,2021-02-02,instagram_tier2,social,983498,1020800,1421.34,5104,14,0,0.0
19,2021-02-02,facebook_retargeting,social,4387490,10033,169.75,301,0,0,0.0
20,2021-02-02,facebook_lal,social,544756,107553,8829.07,1196,7,1,1129.0
21,2021-02-02,instagram_blogger,influencer,374754,299600,13919.1,2996,19,3,14466.0
22,2021-02-02,banner_partner,media,39889,42000000,46159.8,4200,92,13,51753.0
23,2021-02-03,facebook_tier1,social,349043,2313889,65284.4,7197,115,13,72527.0
24,2021-02-03,facebOOK_tier2,social,348934,1105666,78958.3,9898,226,12,59772.0
25,2021-02-03,google_hot,search,89459845,134900,77345.5,2698,84,16,115856.0
26,2021-02-03,google_wide,search,127823,4371854,49498.9,7207,144,13,38753.0
27,2021-02-03,youtube_blogger,influencer,10934,1035261,189341.0,13503,455,91,772499.0
28,2021-02-03,instagram_tier1,social,9034945,1618600,62509.8,8093,166,15,84600.0
29,2021-02-03,instagram_tier2,social,983498,3059600,94399.9,15298,592,36,104184.0
30,2021-02-03,facebook_retargeting,social,4387490,29867,5039.51,896,18,4,23560.0
31,2021-02-03,facebook_lal,social,544756,295009,76716.4,3595,72,9,5607.0
32,2021-02-03,instagram_blogger,influencer,374754,667352,194336.0,8996,342,51,254031.0
33,2021-02-03,banner_partner,media,39889,125910000,29378.3,12591,68,13,51753.0
34,2021-02-04,facebook_tier1,social,349043,2475754,173914.0,9601,192,31,154411.0
35,2021-02-04,facebOOK_tier2,social,348934,4597702,115389.0,13206,143,17,82909.0
36,2021-02-04,google_hot,search,89459845,196484,41269.6,3599,55,9,68589.0
37,2021-02-04,google_wide,search,127823,1531679,60108.8,9591,234,17,58990.0
38,2021-02-04,youtube_blogger,influencer,10934,2120555,185263.0,17993,445,89,624958.0
39,2021-02-04,instagram_tier1,social,9034945,1322751,104028.0,10794,238,27,179037.0
40,2021-02-04,instagram_tier2,social,983498,3008227,40119.2,20392,408,12,23772.0
41,2021-02-04,facebook_retargeting,social,4387490,43160,885.75,1194,4,1,5287.0
42,2021-02-04,facebook_lal,social,544756,432611,120335.0,4807,71,13,6864.0
43,2021-02-04,instagram_blogger,influencer,374754,1199300,149279.0,11993,267,38,224542.0
44,2021-02-04,banner_partner,media,39889,41924802,177746.0,16806,336,60,204540.0
45,2021-02-05,facebook_tier1,social,349043,3462883,90691.7,11997,143,17,84677.0
46,2021-02-05,facebOOK_tier2,social,348934,3299600,261047.0,16498,330,42,209202.0
47,2021-02-05,google_hot,search,89459845,236719,96930.6,4504,151,23,177882.0
48,2021-02-05,google_wide,search,127823,9914040,56875.2,11993,139,14,49644.0
49,2021-02-05,youtube_blogger,influencer,10934,1965108,442617.0,22507,731,146,1165230.0
50,2021-02-05,instagram_tier1,social,9034945,7485780,258306.0,13498,526,76,454556.0
51,2021-02-05,instagram_tier2,social,983498,5100600,13588.8,25503,765,4,7924.0
52,2021-02-05,facebook_retargeting,social,4387490,48954,6790.74,1505,30,5,27060.0
53,2021-02-05,facebook_lal,social,544756,600400,192789.0,6004,120,21,9492.0
54,2021-02-05,instagram_blogger,influencer,374754,2153303,36431.7,15003,51,8,47816.0
55,2021-02-05,banner_partner,media,39889,8238872,427922.0,20997,796,119,471240.0
56,2021-02-06,facebook_tier1,social,349043,310024,40407.9,2391,76,9,46152.0
57,2021-02-06,facebOOK_tier2,social,348934,448321,62272.6,3302,108,9,44829.0
58,2021-02-06,google_hot,search,89459845,44950,6768.87,899,13,1,8136.0
59,2021-02-06,google_wide,search,127823,478400,22542.0,2392,48,6,13152.0
60,2021-02-06,youtube_blogger,influencer,10934,472252,80971.4,4508,133,27,215487.0
61,2021-02-06,instagram_tier1,social,9034945,425467,3661.53,2695,14,1,5958.0
62,2021-02-06,instagram_tier2,social,983498,1589341,12183.4,5092,102,5,12295.0
63,2021-02-06,facebook_retargeting,social,4387490,10200,1420.15,306,6,1,5492.0
64,2021-02-06,facebook_lal,social,544756,119700,29281.0,1197,24,4,6428.0
65,2021-02-06,instagram_blogger,influencer,374754,300700,8289.21,3007,20,2,9450.0
66,2021-02-06,banner_partner,media,39889,42070000,38185.2,4207,84,10,48820.0
67,2021-02-07,facebook_tier1,social,349043,478000,27314.4,2390,45,5,24905.0
68,2021-02-07,facebOOK_tier2,social,348934,659000,38485.6,3295,66,5,23735.0
69,2021-02-07,google_hot,search,89459845,44650,6426.0,893,18,2,14152.0
70,2021-02-07,google_wide,search,127823,1137473,18102.1,2404,48,5,17845.0
71,2021-02-07,youtube_blogger,influencer,10934,694624,31680.1,4505,82,15,119715.0
72,2021-02-07,instagram_tier1,social,9034945,1246126,37965.9,2696,100,11,65791.0
73,2021-02-07,instagram_tier2,social,983498,567096,6747.94,5103,199,2,3962.0
74,2021-02-07,facebook_retargeting,social,4387490,9938,3435.44,294,6,1,4981.0
75,2021-02-07,facebook_lal,social,544756,174221,10104.9,1197,6,1,981.0
76,2021-02-07,instagram_blogger,influencer,374754,300700,46167.6,3007,93,12,68076.0
77,2021-02-07,banner_partner,media,39889,3957603,79987.7,4203,142,27,90504.0
78,2021-02-08,facebook_tier1,social,349043,479000,27210.4,2395,36,5,22345.0
79,2021-02-08,facebOOK_tier2,social,348934,472656,33752.8,3290,66,5,28670.0
80,2021-02-08,google_hot,search,89459845,51350,6918.85,904,20,2,16240.0
81,2021-02-08,google_wide,search,127823,478000,16567.5,2390,48,5,16995.0
82,2021-02-08,youtube_blogger,influencer,10934,685530,33892.6,4491,79,16,120176.0
83,2021-02-08,instagram_tier1,social,9034945,472836,330.76,2690,1,0,0.0
84,2021-02-08,instagram_tier2,social,983498,1020000,2057.3,5100,102,1,1981.0
85,2021-02-08,facebook_retargeting,social,4387490,10067,4336.04,302,10,2,10036.0
86,2021-02-08,facebook_lal,social,544756,120200,40099.0,1202,24,5,4905.0
87,2021-02-08,instagram_blogger,influencer,374754,361650,31154.3,2991,60,9,45027.0
88,2021-02-08,banner_partner,media,39889,2233790,31883.9,4197,84,10,42280.0
89,2021-02-09,facebook_tier1,social,349043,478600,49036.5,2393,68,9,42813.0
90,2021-02-09,facebOOK_tier2,social,348934,555116,62119.4,3303,96,11,54791.0
91,2021-02-09,google_hot,search,89459845,44900,3095.21,898,5,1,7998.0
92,2021-02-09,google_wide,search,127823,478600,20299.3,2393,48,5,14905.0
93,2021-02-09,youtube_blogger,influencer,10934,491821,27833.0,4495,90,18,143658.0
94,2021-02-09,instagram_tier1,social,9034945,759532,10317.0,2701,19,3,19800.0
95,2021-02-09,instagram_tier2,social,983498,1022000,7398.26,5110,102,3,5943.0
96,2021-02-09,facebook_retargeting,social,4387490,9721,2152.37,290,6,1,4353.0
97,2021-02-09,facebook_lal,social,544756,189854,29091.4,1198,24,3,2943.0
98,2021-02-09,instagram_blogger,influencer,374754,346068,57642.4,3006,99,15,89460.0
99,2021-02-09,banner_partner,media,39889,3736884,44731.7,4190,84,13,51259.0
100,2021-02-10,facebook_tier1,social,349043,961800,43386.4,4809,96,8,42400.0
101,2021-02-10,facebOOK_tier2,social,348934,852250,43865.9,6596,132,7,34867.0
102,2021-02-10,google_hot,search,89459845,108748,51883.1,1797,57,11,86724.0
103,2021-02-10,google_wide,search,127823,797238,67577.8,4797,154,19,42598.0
104,2021-02-10,youtube_blogger,influencer,10934,1469962,19831.4,8998,80,16,130768.0
105,2021-02-10,instagram_tier1,social,9034945,3858193,38890.3,5406,186,14,83734.0
106,2021-02-10,instagram_tier2,social,983498,2040000,14147.9,10200,395,4,7924.0
107,2021-02-10,facebook_retargeting,social,4387490,18399,12713.0,599,22,5,27065.0
108,2021-02-10,facebook_lal,social,544756,321713,131236.0,2396,88,15,14715.0
109,2021-02-10,instagram_blogger,influencer,374754,489728,126901.0,6005,187,34,143888.0
110,2021-02-10,banner_partner,media,39889,5219501,179519.0,8391,302,60,196680.0
111,2021-02-11,facebook_tier1,social,349043,1061233,105681.0,7206,144,23,105225.0
112,2021-02-11,facebOOK_tier2,social,348934,4564542,188516.0,9895,304,28,131068.0
113,2021-02-11,google_hot,search,89459845,134600,26220.4,2692,54,6,48990.0
114,2021-02-11,google_wide,search,127823,1254537,51422.5,7198,144,14,41986.0
115,2021-02-11,youtube_blogger,influencer,10934,1210466,197161.0,13506,474,95,831820.0
116,2021-02-11,instagram_tier1,social,9034945,2224531,348.99,8106,1,0,0.0
117,2021-02-11,instagram_tier2,social,983498,3058200,4138.73,15291,114,1,2771.0
118,2021-02-11,facebook_retargeting,social,4387490,26774,17711.1,893,27,6,29886.0
119,2021-02-11,facebook_lal,social,544756,359500,6171.15,3595,5,1,677.0
120,2021-02-11,instagram_blogger,influencer,374754,900400,128751.0,9004,227,29,143869.0
121,2021-02-11,banner_partner,media,39889,5125187,193124.0,12602,482,57,226917.0
122,2021-02-12,facebook_tier1,social,349043,1804868,110004.0,9607,192,23,96163.0
